pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,corr_resp,2,2,10,2,,,,,27.06054689991288,,27.046155999880284,27.06054689991288,28.06048159999773,28.06048159999773,28.06048159999773,28.06048159999773,28.06048159999773,29.06030929996632,29.06030929996632,29.878233700059354,c,0,0.8115088997874409,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,2,3,11,3,,,,,29.893856900045648,,29.879354699980468,29.893856900045648,30.893743199994788,30.893743199994788,30.893743199994788,30.893743199994788,30.893743199994788,31.893495300086215,31.893495300086215,32.677838099887595,z,1,0.7687491998076439,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,3,0,12,0,,,,,32.69395589991473,,32.67897800006904,32.69395589991473,33.69377000001259,33.69377000001259,33.69377000001259,33.69377000001259,33.69377000001259,34.69358660001308,34.69358660001308,35.244518799940124,x,1,0.5411435000132769,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,3,1,13,1,,,,,35.260341899935156,,35.24562849989161,35.260341899935156,36.26040769997053,36.26040769997053,36.26040769997053,36.26040769997053,36.26040769997053,37.26033920003101,37.26033920003101,37.761323099955916,v,1,0.4925681999884546,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,3,2,14,2,,,,,37.7766646000091,,37.76248600007966,37.7766646000091,38.77671770006418,38.77671770006418,38.77671770006418,38.77671770006418,38.77671770006418,39.77661440009251,39.77661440009251,40.19444389990531,c,0,0.41281240014359355,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,3,3,15,3,,,,,40.210200499976054,,40.19555759988725,40.210200499976054,41.210237100021914,41.210237100021914,41.210237100021914,41.210237100021914,41.210237100021914,42.21000099997036,42.21000099997036,43.12854569987394,z,1,0.9073833001311868,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,4,0,16,0,,,,,43.14373099990189,,43.13000759994611,43.14373099990189,44.143552399938926,44.143552399938926,44.143552399938926,44.143552399938926,44.143552399938926,45.143287600018084,45.143287600018084,45.72760470001958,x,1,0.5772194999735802,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,4,1,17,1,,,,,45.743389199953526,,45.72869569994509,45.743389199953526,46.74367560003884,46.74367560003884,46.74367560003884,46.74367560003884,46.74367560003884,47.743353500030935,47.743353500030935,48.444765999913216,v,1,0.6888464000076056,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,4,2,18,2,,,,,48.45991829992272,,48.44615010009147,48.45991829992272,49.459948299918324,49.459948299918324,49.459948299918324,49.459948299918324,49.459948299918324,50.4602268000599,50.4602268000599,51.07738019991666,c,0,0.6145536999683827,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,4,3,19,3,,,,,51.093038300052285,,51.07845989987254,51.093038300052285,52.09316570009105,52.09316570009105,52.09316570009105,52.09316570009105,52.09316570009105,53.09303279989399,53.09303279989399,53.92745120008476,z,1,0.818783099995926,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,5,0,20,0,,,,,53.943051300011575,,53.92859690007754,53.943051300011575,54.94327399996109,54.94327399996109,54.94327399996109,54.94327399996109,54.94327399996109,55.94318210007623,55.94318210007623,56.34453590004705,x,1,0.3954276000149548,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,5,1,21,1,,,,,56.35993449995294,,56.345787700032815,56.35993449995294,57.359654099913314,57.359654099913314,57.359654099913314,57.359654099913314,57.359654099913314,58.35962020000443,58.35962020000443,58.84394060005434,v,1,0.4812449000310153,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,5,2,22,2,,,,,58.85970350005664,,58.84515820001252,58.85970350005664,59.85975899989717,59.85975899989717,59.85975899989717,59.85975899989717,59.85975899989717,60.859656899934635,60.859656899934635,61.21052429988049,c,0,0.3343108999542892,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,5,3,23,3,,,,,61.226107799913734,,61.21165010007098,61.226107799913734,62.22759989998303,62.22759989998303,62.22759989998303,62.22759989998303,62.22759989998303,63.22596769989468,63.22596769989468,63.877154199872166,z,1,0.6417316000442952,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,6,0,24,0,,,,,63.892810999881476,,63.87828000006266,63.892810999881476,64.89276190008968,64.89276190008968,64.89276190008968,64.89276190008968,64.89276190008968,65.89270540000871,65.89270540000871,66.24383400008082,x,1,0.3365584001876414,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,6,1,25,1,,,,,66.25937539990991,,66.24499589996412,66.25937539990991,67.25929330009967,67.25929330009967,67.25929330009967,67.25929330009967,67.25929330009967,68.25944079994224,68.25944079994224,68.72689930000342,v,1,0.461648799944669,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,6,2,26,2,,,,,68.74264999991283,,68.72797010000795,68.74264999991283,69.74272780003957,69.74272780003957,69.74272780003957,69.74272780003957,69.74272780003957,70.74253960000351,70.74253960000351,71.1436586000491,c,0,0.39754640008322895,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,6,3,27,3,,,,,71.15942090004683,,71.14477690006606,71.15942090004683,72.1592999000568,72.1592999000568,72.1592999000568,72.1592999000568,72.1592999000568,73.1592806999106,73.1592806999106,73.8439513000194,z,1,0.6766755999997258,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,7,0,28,0,,,,,73.85916769993491,,73.84505799994804,73.85916769993491,74.85922420001589,74.85922420001589,74.85922420001589,74.85922420001589,74.85922420001589,75.8592534000054,75.8592534000054,76.37681700009853,x,1,0.5099543000105768,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,7,1,29,1,,,,,76.3924656000454,,76.37798999994993,76.3924656000454,77.39243549993262,77.39243549993262,77.39243549993262,77.39243549993262,77.39243549993262,78.3923969999887,78.3923969999887,78.91037519997917,v,1,0.514192899921909,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,7,2,30,2,,,,,78.92549300007522,,78.91202410007827,78.92549300007522,79.92562379990704,79.92562379990704,79.92562379990704,79.92562379990704,79.92562379990704,80.92565919994377,80.92565919994377,81.31007190002128,c,0,0.37773139984346926,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,7,3,31,3,,,,,81.32560550002381,,81.311206900049,81.32560550002381,82.32575009996071,82.32575009996071,82.32575009996071,82.32575009996071,82.32575009996071,83.32559249992482,83.32559249992482,83.99358969996683,z,1,0.6555167001206428,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,8,0,32,0,,,,,84.00913259992376,,83.99498809990473,84.00913259992376,85.00886439997703,85.00886439997703,85.00886439997703,85.00886439997703,85.00886439997703,86.00892450008541,86.00892450008541,86.52648180001415,x,1,0.502183300210163,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,8,1,33,1,,,,,86.54216430010274,,86.52757939998992,86.54216430010274,87.54230930004269,87.54230930004269,87.54230930004269,87.54230930004269,87.54230930004269,88.54214369994588,88.54214369994588,89.59343519993126,v,1,1.0398939999286085,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,8,2,34,2,,,,,89.60865309997462,,89.59471730003133,89.60865309997462,90.60897330008447,90.60897330008447,90.60897330008447,90.60897330008447,90.60897330008447,91.60900679999031,91.60900679999031,92.52656519995071,c,0,0.9045482999645174,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,8,3,35,3,,,,,92.54213649989106,,92.52781039988622,92.54213649989106,93.54216339997947,93.54216339997947,93.54216339997947,93.54216339997947,93.54216339997947,94.54214540007524,94.54214540007524,95.40976290008985,z,1,0.8580046000424773,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,9,0,36,0,,,,,95.42525379988365,,95.41136349993758,95.42525379988365,96.42521449993365,96.42521449993365,96.42521449993365,96.42521449993365,96.42521449993365,97.4253334000241,97.4253334000241,97.99333469988778,x,1,0.5512820000294596,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,9,1,37,1,,,,,98.0088138000574,,97.99488919996656,98.0088138000574,99.0086403999012,99.0086403999012,99.0086403999012,99.0086403999012,99.0086403999012,100.00860709999688,100.00860709999688,100.52636700007133,v,1,0.5103857999201864,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,9,2,38,2,,,,,100.54179899999872,,100.52753690001555,100.54179899999872,101.54193080007099,101.54193080007099,101.54193080007099,101.54193080007099,101.54193080007099,102.54172299988568,102.54172299988568,102.8951244999189,c,0,0.34988110000267625,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,9,3,39,3,,,,,102.90866549988277,,102.89639750006609,102.90866549988277,103.9084475999698,103.9084475999698,103.9084475999698,103.9084475999698,103.9084475999698,104.9084735000506,104.9084735000506,105.57621389999986,z,1,0.6650517999660224,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,10,0,40,0,,,,,105.59155120002106,,105.57731399987824,105.59155120002106,106.59161540004425,106.59161540004425,106.59161540004425,106.59161540004425,106.59161540004425,107.59163710009307,107.59163710009307,108.14305870002136,x,1,0.5476681999862194,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,10,1,41,1,,,,,108.1585017000325,,108.14439309993759,108.1585017000325,109.15870620007627,109.15870620007627,109.15870620007627,109.15870620007627,109.15870620007627,110.15830769995227,110.15830769995227,110.52594000007957,v,1,0.3596368001308292,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,10,2,42,2,,,,,110.54170749988407,,110.52701630000956,110.54170749988407,111.54168700007722,111.54168700007722,111.54168700007722,111.54168700007722,111.54168700007722,112.54160259990022,112.54160259990022,112.90916100004688,c,0,0.3522906000725925,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,10,3,43,3,,,,,112.92484220000915,,112.91033879993483,112.92484220000915,113.9249734999612,113.9249734999612,113.9249734999612,113.9249734999612,113.9249734999612,114.92483890010044,114.92483890010044,115.52573290001601,z,1,0.5958141000010073,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,11,0,44,0,,,,,115.5413895000238,,115.5267995998729,115.5413895000238,116.54154219990596,116.54154219990596,116.54154219990596,116.54154219990596,116.54154219990596,117.54138810001314,117.54138810001314,117.95958000002429,x,1,0.40292799985036254,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,11,1,45,1,,,,,117.97486019995995,,117.96048430004157,117.97486019995995,118.97480219998397,118.97480219998397,118.97480219998397,118.97480219998397,118.97480219998397,119.97455010004342,119.97455010004342,120.392342899926,v,1,0.40136680006980896,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,11,2,46,2,,,,,120.40802289987914,,120.39344889996573,120.40802289987914,121.40801919996738,121.40801919996738,121.40801919996738,121.40801919996738,121.40801919996738,122.40841510007158,122.40841510007158,122.72564419987611,c,0,0.3108095000497997,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,11,3,47,3,,,,,122.74120729998685,,122.7269295998849,122.74120729998685,123.7413296001032,123.7413296001032,123.7413296001032,123.7413296001032,123.7413296001032,124.7413007998839,124.7413007998839,125.09229910001159,z,1,0.34739809995517135,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,12,0,48,0,,,,,125.10783930006437,,125.09344019996934,125.10783930006437,126.10803289990872,126.10803289990872,126.10803289990872,126.10803289990872,126.10803289990872,127.10778800002299,127.10778800002299,127.42554079997353,x,1,0.308964200085029,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,12,1,49,1,,,,,127.4411760000512,,127.42668340005912,127.4411760000512,128.44113599997945,128.44113599997945,128.44113599997945,128.44113599997945,128.44113599997945,129.44103750004433,129.44103750004433,129.77566689997911,v,1,0.32441819994710386,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,12,2,50,2,,,,,129.79117299988866,,129.77673480007797,129.79117299988866,130.7911974999588,130.7911974999588,130.7911974999588,130.7911974999588,130.7911974999588,131.79097640002146,131.79097640002146,132.10893870005384,c,0,0.30184439988806844,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,12,3,51,3,,,,,132.1243604000192,,132.11014449992217,132.1243604000192,133.12436889996752,133.12436889996752,133.12436889996752,133.12436889996752,133.12436889996752,134.1243779999204,134.1243779999204,134.47550470009446,z,1,0.3345103000756353,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,13,0,52,0,,,,,134.49093830003403,,134.47662530001253,134.49093830003403,135.49093359988183,135.49093359988183,135.49093359988183,135.49093359988183,135.49093359988183,136.4908098001033,136.4908098001033,136.9085562999826,x,1,0.4061603001318872,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,13,1,53,1,,,,,136.92411729996093,,136.90966219990514,136.92411729996093,137.92406049999408,137.92406049999408,137.92406049999408,137.92406049999408,137.92406049999408,138.92399080004543,138.92399080004543,139.25870530004613,v,1,0.3288934000302106,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,13,2,54,2,,,,,139.2740865999367,,139.25990699999966,139.2740865999367,140.27402119990438,140.27402119990438,140.27402119990438,140.27402119990438,140.27402119990438,141.2741970999632,141.2741970999632,141.65838590008207,c,0,0.37227339996024966,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,13,3,55,3,,,,,141.67418249999173,,141.65945619996637,141.67418249999173,142.67396509996615,142.67396509996615,142.67396509996615,142.67396509996615,142.67396509996615,143.67391470004804,143.67391470004804,144.0084901000373,z,1,0.32099290005862713,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,14,0,56,0,,,,,144.02416340005584,,144.01008519995958,144.02416340005584,145.02401169994846,145.02401169994846,145.02401169994846,145.02401169994846,145.02401169994846,146.02378769987263,146.02378769987263,146.35856839991175,x,1,0.3268652001861483,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
150,v,14,1,57,1,,,,,146.3739557999652,,146.35971900005825,146.3739557999652,147.37386980000883,147.37386980000883,147.37386980000883,147.37386980000883,147.37386980000883,148.3738219998777,148.3738219998777,148.7083791999612,v,1,0.3257850001100451,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
50,corr_resp,14,2,58,2,,,,,148.72396390000358,,148.7095123999752,148.72396390000358,149.7237736999523,149.7237736999523,149.7237736999523,149.7237736999523,149.7237736999523,150.7238169000484,150.7238169000484,151.37473669997416,c,0,0.6483541000634432,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-150,z,14,3,59,3,,,,,151.39044909994118,,151.3758781000506,151.39044909994118,152.39065230009146,152.39065230009146,152.39065230009146,152.39065230009146,152.39065230009146,153.39034210005775,153.39034210005775,154.09145499998704,z,1,0.6893594998400658,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
-50,x,15,0,60,0,,,,,154.107187199872,,154.09267690009438,154.107187199872,155.10716899996623,155.10716899996623,155.10716899996623,155.10716899996623,155.10716899996623,156.10708389990032,156.10708389990032,156.50812910008244,x,1,0.39359660004265606,None,574263,001,2024-10-14_20h30.54.198,PRIYANSHI.AU2220101_motor.sequence,2024.1.5,None,2024-10-14 20h31.03.501059 +0530,
